,protein,Genotype,Behavior,Treatment,Geno_Behav,Geno_Treat,Behav_Treat,Triple_Interact,importance,ImportanceRank
7,pCAMKII_N,0.881466990795342,1.8776173837458473e-06,0.033784591298765855,0.6307039486901778,0.48913576440361584,0.31183282433998666,0.05359550090281323,0.011782275803918552,24.0
41,TIAM1_N,0.1345481022585203,0.2553980946502883,0.9086890076034778,0.0006544513963609446,0.8207152532500808,0.32314394114852896,0.749465508602596,0.011248932556001248,25.0
8,pCREB_N,0.05346414281400396,0.008308392315312505,0.396101231969767,0.18541062015801357,0.5134114326118115,0.5435364536243392,0.7273945491524783,0.010587446264884604,26.0
19,AKT_N,0.22917988855550922,0.0003098336140954528,0.5165867014184683,0.05375672419188931,0.2206720902881657,0.35081275233809806,0.0002771474474567306,0.010473031492779452,27.0
24,ERK_N,0.291789114439169,2.3295369753801568e-05,0.05051042854765993,0.002669562869568952,0.8770261109131025,0.9123950735886308,0.050653662318619355,0.009875165393359392,28.0
42,pP70S6_N,0.09676027255351506,0.0006625023626071155,0.6208556678423821,0.15687059410976886,0.4780546829300071,0.102666256569849,0.003966311534249308,0.009712047879314591,29.0
54,ERBB4_N,0.8903901047858084,0.0007550080473238406,0.338692313154923,0.09072181857233551,0.5963563076390245,0.7898569722790123,0.0031764520826364547,0.00914350740988773,30.0
66,pGSK3B_Tyr216_N,0.26967268885021495,0.24877103374783852,0.7578060870776565,0.4008853125084739,0.6099683902390396,0.2626161680911666,0.2878716235372416,0.008998013078817672,31.0
9,pELK_N,0.9404685318254726,0.0032107779781708648,0.9402956387956857,0.7104178080999799,0.20514891709836455,0.4234147121095516,0.9600488336971529,0.008982010028548109,32.0
56,Tau_N,0.014233404901650926,0.05920249527217094,0.16502660821140533,0.3194577248494787,0.3703720892421799,0.27642031402053213,0.4761884344869117,0.008843148865407045,33.0
73,EGR1_N,0.024146968575804346,1.7204365993342894e-06,0.10720653557655681,0.5042511611029061,0.7314788570426745,0.524654516792852,0.9701517801331868,0.008823772774226536,34.0
12,PKCA_N,0.9191290254448427,0.011275978961886297,0.7185883634734049,0.004870224956391119,0.763514362900946,0.8741415570289108,0.44009354977299975,0.008653774753715746,35.0
55,nNOS_N,0.999060199649129,6.009847129841484e-05,0.06054152675829456,0.6222337619642229,0.5231545432418865,0.021343081295980698,0.252825583431413,0.008414049714062004,36.0
46,pPKCG_N,0.011613010283027267,0.7915155598223531,0.06903650888556083,0.35164601625149294,0.03581220288950696,0.7386528143618725,0.013231354039063834,0.008273943152905782,37.0
61,P3525_N,0.2766519992019835,0.8832193743647082,0.020358884455494594,0.06579634292351137,0.03398317093969388,0.11091927026764258,0.5075269281732074,0.008043680963434774,38.0
21,CAMKII_N,0.5156634801028028,0.05118405670457627,0.7047284844427865,0.023792839945858516,0.2571813249316623,0.2322570141129937,0.054073548739790846,0.007932996339552448,39.0
15,pNR2A_N,0.004309082427630536,1.6210213479419191e-06,0.09149380263879715,0.8698941923246706,0.8718472969134705,0.0017202006848884008,0.400160680296892,0.007900689658078752,40.0
31,Bcatenin_N,0.9766339083834162,0.19611713280755816,0.23637920963457784,0.005341078881008344,0.05066690680956722,0.39478241029338823,0.3446330005686151,0.007795655758012211,41.0
50,AcetylH3K9_N,0.04313913934960953,0.08126763297299684,0.36098364487636403,0.3707918649781816,0.8658552477389798,0.5999865437616423,0.7496903362621946,0.007760655371204497,42.0
36,DSCR1_N,0.7584599021547801,0.09216239994618883,0.10406792214125342,0.03607421185556386,0.8541777534058917,0.31248385565001174,0.44941775117172045,0.007629446112810416,43.0
43,NUMB_N,0.09588131743420208,0.0003699051105362446,0.0005479352254259666,0.38869381100537925,0.10552083066619349,0.4099328715756577,0.14114029726521157,0.007261564582690314,44.0
68,BAD_N,0.7022098971311704,0.007877792594391248,0.8509347199046986,0.8296988758428492,0.017056476954747157,0.29468380491330787,0.2704926793583338,0.007193133703320138,45.0
2,BDNF_N,0.6183843857032684,0.09963054786363267,0.42940807696360106,0.0023213005404897156,0.3893021264184806,0.32771128793616155,0.8134932867769623,0.0069430274962853115,46.0
71,SYP_N,0.02536775517183778,0.43443713400623474,0.882915050435952,0.7724515137392005,0.8925035204550469,0.9457591766965806,0.17145049238728458,0.006790017817000787,47.0
74,H3MeK4_N,0.23298902493312834,0.00010105251989361468,0.6635002585051613,0.8208759270116952,0.9424160472040998,0.5160288593267903,0.41545808231460557,0.006779228076662987,48.0
13,pMEK_N,0.5609515844385465,0.0002444981446940948,0.21743192688841748,0.06572413575173158,0.960359807703262,0.555954146751576,0.4787634362109927,0.0067647783295003375,49.0
6,pBRAF_N,0.9039986282624871,0.0003959769624715331,0.022972475421353614,0.16587709249254878,0.710201769902058,0.8049596558456974,0.3939773035983015,0.006656500151000649,50.0
47,CDK5_N,0.21157013812058756,0.0006482830326717778,0.05200899484466684,0.10329695961163934,0.20362741265292306,0.9827970099415757,0.7092595540030171,0.006605167384860536,51.0
28,TRKA_N,0.3140231178135095,0.21091324767474195,0.6376721651991057,0.06958707782253643,0.5348106149672756,0.5471785315076714,0.15287080290962954,0.006483643147334725,52.0
72,H3AcK18_N,0.0308760531235413,0.00221279542431126,0.473732018664207,0.15722711888055327,0.6977650714968837,0.24333698493928893,0.8448489031660309,0.006429430199000508,53.0
58,GluR3_N,0.011022456114820245,0.8288547261614958,0.17331999865404585,0.8307148441457595,0.30172944985750727,0.4969923441980776,0.39103067055063856,0.006339698083964716,54.0
57,GFAP_N,0.46494973259373007,0.003965429724442837,0.019897699583250498,0.1399703232748431,0.27687971100144787,0.490439108621436,0.56702248663763,0.006017795372511081,55.0
14,pNR1_N,0.01280644418061652,0.28320379836735454,0.9358975259748081,0.010545047994590826,0.05721396864294793,0.6591232050340428,0.0782466747522648,0.005988369077232373,56.0
11,pJNK_N,0.7805840541932947,0.001241512000246206,0.05248854374177637,0.2027786071553426,0.1909539641882962,0.2991007447393138,0.12224126804939235,0.005851600651156468,57.0
63,PSD95_N,0.9792849953132473,0.0006143130427874504,0.13124564156172222,0.12290452920338141,0.28214397246178097,0.8253888779549539,0.2596957703918597,0.0058453657802818556,58.0
59,GluR4_N,0.8924058375170709,0.4505190189656477,0.5554811865323117,0.3496054234473379,0.6763334531716736,0.39042360571516355,0.4148971553820151,0.0058332417425989375,59.0
3,NR1_N,0.16678173149285494,0.8749550820441978,0.43859490595858674,0.022318255854349413,0.04705157585271014,0.5692673679679303,0.1294086991705144,0.005583757026024572,60.0
16,pNR2B_N,0.10843952868544625,0.2691451677314871,0.5807478365623262,0.23170855171574772,0.053672844385388864,0.18903895666802972,0.00995042763254144,0.005566717963344135,61.0
5,pAKT_N,0.4091943080671846,0.000380245545086418,0.1026649269466892,0.07549190745834312,0.9803276406105944,0.6536363690680327,0.2655745762727479,0.005533559998330817,62.0
70,pCFOS_N,0.225541449641418,0.0037152336780640585,0.5583786024366363,0.2926709242454254,0.7153246388720704,0.7808824346171469,0.14697100071842983,0.005520249283755479,63.0
49,ADARB1_N,0.3555043358442378,0.0913864832054666,0.49976946607378603,0.028979059953050994,0.6526696795743503,0.3061453650747265,0.037873644315501956,0.005487912962130867,64.0
22,CREB_N,0.5866023058515248,0.024894487039225886,0.1832019062801528,0.09730377382794159,0.4877739067272203,0.859686687714285,0.5271281999509851,0.005445177811408457,65.0
52,BAX_N,0.538611835806061,0.8647680972601288,0.056919340399961035,0.24773780097472048,0.47337343382683195,0.02681602539766435,0.7833225619962485,0.00531282361542408,66.0
69,BCL2_N,0.6598056724961506,0.07092740516524075,0.1674126144229678,0.3962244472843899,0.27683266244660476,0.4454764486001258,0.4323897621553122,0.005198001558992851,67.0
18,pRSK_N,0.18765240196439945,0.7044538699769047,0.803066059268908,0.2756044498523139,0.8561422985764172,0.2257912968720409,0.13124578581350305,0.005177225071676924,68.0
44,P70S6_N,0.7777938166617172,0.7902139344521182,0.32934207332364707,0.3550159038393401,0.5430617425940036,0.023206183176699438,0.2031642369990283,0.0051510693000082495,69.0
23,ELK_N,0.28443666386287764,0.12068389193701352,0.012305921684754534,0.057414818112797056,0.6385805979095547,0.9651752336242766,0.06585589976955125,0.0049252965933979775,70.0
51,RRP1_N,0.3036100092636139,0.6025761081467585,0.6085537795517799,0.12779287769423406,0.26370620654814114,0.24553459601864638,0.4829532154524443,0.004918553641703489,71.0
27,MEK_N,0.5042297260340799,0.21165824222482063,0.5102124680466932,0.025827482882103178,0.6194447308577113,0.93607659654591,0.6900441143726908,0.004461489842496335,72.0
62,pCASP9_N,0.8602683485677205,0.04742511106277247,0.2515988461219442,0.526739805635614,0.9291998250443775,0.21873210408980398,0.7056102080769213,0.0038729802896830604,73.0
67,SHH_N,0.8384720860914205,0.02445015490986653,0.49513603277519846,0.8549446329208343,0.8978944282102405,0.15730788819921723,0.15468869901043594,0.0038329496963898486,74.0
26,JNK_N,0.7685612399506135,0.90089926131251,0.42514886971612253,0.10781767081023311,0.604782860797265,0.2961901536697553,0.3227062107240728,0.0037395991466214434,75.0
29,RSK_N,0.9608881662781309,0.11241436818207218,0.6349257282025731,0.20813569417494307,0.45892996062642843,0.6415456786801738,0.682686540408034,0.003597504060720876,76.0
